A,A2,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,A9,xcoord,ycoord
4413010300100670001,4413010300,천안시,1,일반, 성황동 67-1,1996,1,1300000,213037.5239,468283.0818
4413010300100760002,4413010300,천안시,1,일반, 성황동 76-2,1996,1,2000000,213070.4923,468248.9771
4413010300100770010,4413010300,천안시,1,일반, 성황동 77-10,1996,1,420000,213111.4733,468208.4351
4413010300100780006,4413010300,천안시,1,일반, 성황동 78-6,1996,1,250000,213150.2697,468304.4475
4413010300100800002,4413010300,천안시,1,일반, 성황동 80-2,1996,1,1600000,213123.4594,468171.7152
4413010300100840002,4413010300,천안시,1,일반, 성황동 84-2,1996,1,310000,213196.9441,468178.0978
4413010300100860020,4413010300,천안시,1,일반, 성황동 86-20,1996,1,350000,213320.9582,468164.339
4413010300100860022,4413010300,천안시,1,일반, 성황동 86-22,1996,1,500000,213293.743,468202.0146
4413010300100920003,4413010300,천안시,1,일반, 성황동 92-3,1996,1,860000,213402.6667,468198.767
4413010300100930003,4413010300,천안시,1,일반, 성황동 93-3,1996,1,820000,213365.2072,468165.1552
4413010300100930070,4413010300,천안시,1,일반, 성황동 93-70,1996,1,250000,213462.1063,468175.7378
4413010300101000013,4413010300,천안시,1,일반, 성황동 100-13,1996,1,500000,213510.4473,468229.5944
4413010300101010022,4413010300,천안시,1,일반, 성황동 101-22,1996,1,510000,213672.2999,468224.8487
4413010300101020015,4413010300,천안시,1,일반, 성황동 102-15,1996,1,360000,213698.6708,468306.1361
4413010300101040068,4413010300,천안시,1,일반, 성황동 104-68,1996,1,300000,213784.7181,468377.4952
4413010300101060004,4413010300,천안시,1,일반, 성황동 106-4,1996,1,290000,좌표x,좌표x
4413010400100010050,4413010400,천안시,1,일반, 문화동 1-50,1996,1,270000,좌표x,좌표x
4413010400100010084,4413010400,천안시,1,일반, 문화동 1-84,1996,1,320000,좌표x,좌표x
4413010400100020018,4413010400,천안시,1,일반, 문화동 2-18,1996,1,280000,213487.2282,468130.3032
4413010400100020023,4413010400,천안시,1,일반, 문화동 2-23,1996,1,830000,213396.6124,468138.6461
4413010400100020047,4413010400,천안시,1,일반, 문화동 2-47,1996,1,330000,좌표x,좌표x
4413010400100030016,4413010400,천안시,1,일반, 문화동 3-16,1996,1,750000,213394.6269,467976.4288
4413010400100040007,4413010400,천안시,1,일반, 문화동 4-7,1996,1,950000,213355.2196,468000.1181
4413010400100120004,4413010400,천안시,1,일반, 문화동 12-4,1996,1,460000,213501.8694,468014.4456
4413010400100120017,4413010400,천안시,1,일반, 문화동 12-17,1996,1,640000,213464.306,467960.2
4413010400100170002,4413010400,천안시,1,일반, 문화동 17-2,1996,1,800000,좌표x,좌표x
4413010400100180001,4413010400,천안시,1,일반, 문화동 18-1,1996,1,720000,213415.7205,467940.4734
4413010400100240003,4413010400,천안시,1,일반, 문화동 24-3,1996,1,480000,213282.611,467909.7528
4413010400100240010,4413010400,천안시,1,일반, 문화동 24-10,1996,1,1300000,213252.1685,467980.6756
4413010400100280003,4413010400,천안시,1,일반, 문화동 28-3,1996,1,430000,213202.4284,467942.2534
4413010400100300017,4413010400,천안시,1,일반, 문화동 30-17,1996,1,760000,213344.8572,467922.98
4413010400100330006,4413010400,천안시,1,일반, 문화동 33-6,1996,1,1360000,213285.2221,468006.8799
4413010400100360035,4413010400,천안시,1,일반, 문화동 36-35,1996,1,1300000,213211.3316,468037.1746
4413010400100360036,4413010400,천안시,1,일반, 문화동 36-36,1996,1,270000,213272.653,468082.7247
4413010400100360063,4413010400,천안시,1,일반, 문화동 36-63,1996,1,1000000,213228.9583,468108.1881
4413010400100440003,4413010400,천안시,1,일반, 문화동 44-3,1996,1,1800000,213097.7525,468099.9614
4413010400100450002,4413010400,천안시,1,일반, 문화동 45-2,1996,1,1600000,213123.9289,468069.0344
4413010400100520001,4413010400,천안시,1,일반, 문화동 52-1,1996,1,2600000,213163.8237,467997.3839
4413010400100560023,4413010400,천안시,1,일반, 문화동 56-23,1996,1,260000,좌표x,좌표x
4413010400100630002,4413010400,천안시,1,일반, 문화동 63-2,1996,1,2700000,213163.4738,467781.4398
4413010400100700003,4413010400,천안시,1,일반, 문화동 70-3,1996,1,430000,좌표x,좌표x
4413010400100870003,4413010400,천안시,1,일반, 문화동 87-3,1996,1,300000,213245.2371,467860.9243
4413010400100910007,4413010400,천안시,1,일반, 문화동 91-7,1996,1,350000,213325.1718,467835.5864
4413010400100910022,4413010400,천안시,1,일반, 문화동 91-22,1996,1,600000,213263.3899,467767.4582
4413010400100920013,4413010400,천안시,1,일반, 문화동 92-13,1996,1,300000,213331.8818,467895.5913
4413010400100920023,4413010400,천안시,1,일반, 문화동 92-23,1996,1,300000,213403.4201,467889.8474
4413010400100960007,4413010400,천안시,1,일반, 문화동 96-7,1996,1,1150000,213328.0618,467640.1999
4413010400100960022,4413010400,천안시,1,일반, 문화동 96-22,1996,1,370000,좌표x,좌표x
4413010400101000001,4413010400,천안시,1,일반, 문화동 100-1,1996,1,630000,213292.2647,467696.9337
4413010400101030007,4413010400,천안시,1,일반, 문화동 103-7,1996,1,1500000,213241.2394,467726.8554
4413010400101090003,4413010400,천안시,1,일반, 문화동 109-3,1996,1,310000,좌표x,좌표x
4413010400101090007,4413010400,천안시,1,일반, 문화동 109-7,1996,1,1300000,좌표x,좌표x
4413010400101110001,4413010400,천안시,1,일반, 문화동 111-1,1996,1,340000,좌표x,좌표x
4413010400101250001,4413010400,천안시,1,일반, 문화동 125-1,1996,1,2200000,좌표x,좌표x
4413010400101360002,4413010400,천안시,1,일반, 문화동 136-2,1996,1,1400000,213084.9658,467709.5865
4413010400101360006,4413010400,천안시,1,일반, 문화동 136-6,1996,1,2500000,213117.5077,467742.4395
4413010400101390002,4413010400,천안시,1,일반, 문화동 139-2,1996,1,5700000,213073.14,467773.0497
4413010400101460002,4413010400,천안시,1,일반, 문화동 146-2,1996,1,1850000,213112.9435,467881.3558
4413010400101500013,4413010400,천안시,1,일반, 문화동 150-13,1996,1,3200000,213045.8741,467734.5181
4413010400101680002,4413010400,천안시,1,일반, 문화동 168-2,1996,1,630000,좌표x,좌표x
4413010400101680004,4413010400,천안시,1,일반, 문화동 168-4,1996,1,3100000,좌표x,좌표x
4413010400101680007,4413010400,천안시,1,일반, 문화동 168-7,1996,1,2100000,213094.0698,467621.1306
4413010500100030001,4413010500,천안시,1,일반, 사직동 3-1,1996,1,2200000,213133.3695,467208.1877
4413010500100120002,4413010500,천안시,1,일반, 사직동 12-2,1996,1,1650000,213088.8624,467245.6634
4413010500100220000,4413010500,천안시,1,일반, 사직동 22,1996,1,2600000,213063.7861,467195.2902
4413010500100260000,4413010500,천안시,1,일반, 사직동 26,1996,1,1400000,213091.2594,467167.1655
4413010500100500000,4413010500,천안시,1,일반, 사직동 50,1996,1,2100000,213045.9057,467109.3763
4413010500100600010,4413010500,천안시,1,일반, 사직동 60-10,1996,1,2000000,213008.695,467189.1678
4413010500100620003,4413010500,천안시,1,일반, 사직동 62-3,1996,1,340000,212978.3563,467163.5111
4413010500100720000,4413010500,천안시,1,일반, 사직동 72,1996,1,2600000,213032.9174,467211.8897
4413010500100780002,4413010500,천안시,1,일반, 사직동 78-2,1996,1,410000,212998.8956,467246.1058
4413010500100840001,4413010500,천안시,1,일반, 사직동 84-1,1996,1,380000,212959.6137,467262.306
4413010500100940004,4413010500,천안시,1,일반, 사직동 94-4,1996,1,2000000,212946.4236,467291.9292
4413010500100960005,4413010500,천안시,1,일반, 사직동 96-5,1996,1,1150000,212930.7904,467270.6203
4413010500101020003,4413010500,천안시,1,일반, 사직동 102-3,1996,1,1600000,좌표x,좌표x
4413010500101040002,4413010500,천안시,1,일반, 사직동 104-2,1996,1,1200000,212898.2393,467193.2426
4413010500101170006,4413010500,천안시,1,일반, 사직동 117-6,1996,1,230000,212858.5155,467139.6752
